Band Value,afterFiltered Count,District
-0.25,341,Birbhum
0,321.255,Birbhum
0.25,270.012,Birbhum
0.5,241,Birbhum
0.75,243,Birbhum
1,205,Birbhum
1.25,175.584,Birbhum
1.5,179,Birbhum
1.75,119.91,Birbhum
2,102,Birbhum
2.25,105,Birbhum
2.5,89,Birbhum
2.75,82,Birbhum
3,74,Birbhum
3.25,46,Birbhum
3.5,47,Birbhum
3.75,33,Birbhum
4,35,Birbhum
4.25,24,Birbhum
4.5,24,Birbhum
4.75,14,Birbhum
5,19,Birbhum
5.25,8,Birbhum
5.5,10,Birbhum
5.75,11,Birbhum
6,3,Birbhum
6.25,7,Birbhum
6.5,6,Birbhum
6.75,9,Birbhum
7,5,Birbhum
7.25,1,Birbhum
7.5,3,Birbhum
7.75,6,Birbhum
8,5,Birbhum
8.25,4,Birbhum
8.5,4,Birbhum
8.75,2,Birbhum
9,2,Birbhum
9.25,1,Birbhum
9.5,4,Birbhum
9.75,,Birbhum
10,1,Birbhum
10.25,1,Birbhum
10.5,,Birbhum
10.75,,Birbhum
11,,Birbhum
11.25,1,Birbhum
